Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-11-25,17350.00,OTHER PROFESSIONAL FEES,SWEETT (UK) LTD,,
2016-11-29,17005.54,LEGAL FEES,ST WILLIAM HOMES LLP,,
2016-11-14,16704.00,SECONDED STAFF,NHS ENGLAND,,
2016-12-06,16560.00,MANAGEMENT & SUPPORT CONSULTANCY,CAPITA SYMONDS LTD,,
2016-12-06,16522.25,CHILDCARE VOUCHERS,REWARD GATEWAY (UK) LTD,,
2016-11-25,16441.03,CHILDCARE VOUCHERS,REWARD GATEWAY (UK) LTD,,
2016-11-30,16058.22,GRANTS TO EXTERNAL ORGANISATIONS,TRANSPORT FOR LONDON,,
2016-12-07,15887.56,SECONDED STAFF,MARYLEBONE CRICKET CLUB,,
2016-11-15,15000.00,MANAGEMENT & SUPPORT CONSULTANCY,FUTURE OF LONDON 2011 LIMITED,,
2016-11-30,15000.00,AGENCY FEES PAID TO MARKETING AGENCIES,FREUDS,,
2016-12-06,14495.00,GRANTS TO EXTERNAL ORGANISATIONS,ROUNDHOUSE TRUST,,
2016-11-23,14400.00,CONSULTANCY-PROJECT MANAGEMENT,SOUND DIPLOMACY,,
2016-11-25,14341.74,SECONDED STAFF,LONDON SPORT LTD,,
2016-11-22,14095.75,SECONDED STAFF,TRANSPORT FOR LONDON,,
2016-11-30,14010.25,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,,
2016-11-18,13731.52,LEGAL FEES,DENTONS UKMEA LLP,,
2016-12-08,13600.00,OTHER PROFESSIONAL FEES,2CV RESEARCH,,
2016-12-09,13500.00,HSG GRANTS TO REGISTERED PROVIDERS,NOTTING HILL HOUSING TRUST,,
2016-12-05,13498.80,MANAGEMENT & SUPPORT CONSULTANCY,AECOM LTD,,
2016-11-22,12742.73,SECURITY SERVICES (GUARDS),SERVOCA SECURE SOLUTIONS,,
2016-12-09,12591.24,OFFICE CLEANING,ALL CLEAN GROUP,,
2016-12-09,12591.24,OFFICE CLEANING,ALL CLEAN GROUP,,
2016-11-22,12500.00,GRANTS TO EXTERNAL ORGANISATIONS,GROUNDSWELL,,
2016-11-25,12500.00,GRANTS TO EXTERNAL ORGANISATIONS,GROUNDSWELL,,
2016-11-28,12462.00,HSG GRANTS TO REGISTERED PROVIDERS,ISLINGTON AND SHOREDITCH HA LTD,,
2016-12-01,12424.00,HSG GRANTS TO REGISTERED PROVIDERS,SANCTUARY HOUSING ASSOCIATION,,
2016-11-28,12225.00,GRANTS TO EXTERNAL ORGANISATIONS,GREATER LONDON VOLUNTEERING,,
2016-11-22,11593.00,GRANTS TO EXTERNAL ORGANISATIONS,ST MICHAEL'S CENTRE,,
2016-11-18,11500.00,GRANTS TO EXTERNAL ORGANISATIONS,"BURNING GLASS TECHNOLOGIES, INC.",,
2016-11-22,11359.12,GRANTS TO EXTERNAL ORGANISATIONS,SUSTAIN,,
2016-12-07,11095.00,CONSULTANCY  EVALUATION ASSESSMENT,HOMES & COMMUNITIES AGENCY,,
2016-11-24,11000.00,OTHER PROFESSIONAL FEES,TRAMPOLINE SYSTEMS LTD,,
2016-11-16,10660.39,FURNITURE & EQUIPMENT,AHREND LIMITED,,
2016-12-02,10178.76,GRANTS TO EXTERNAL ORGANISATIONS,DANFOSS A/S,,
2016-12-06,10000.00,GRANTS TO EXTERNAL ORGANISATIONS,GREENWICH & DOCKLANDS FESTIVALS,,
2016-12-07,10000.00,SOCIAL MEDIA AND DIGITAL ADVERTISING SPACE,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,,
2016-11-18,10000.00,GRANTS TO EXTERNAL ORGANISATIONS,BOP CONSULTING,,
2016-11-28,10000.00,GRANTS TO EXTERNAL ORGANISATIONS,BOP CONSULTING,,
2016-12-02,10000.00,MONITORING OF PR AND SOCIAL MEDIA,PRECISE MEDIA MONITORING LTD,,
2016-12-01,10000.00,GRANTS TO EXTERNAL ORGANISATIONS,FOOTBALL LEAGUE TRUST,,
2016-12-07,10000.00,GRANTS TO EXTERNAL ORGANISATIONS,ENGLAND BOXING LTD,,
2016-12-09,10000.00,IT CONSULTANCY,THEM DESIGN LIMITED,,
2016-11-16,10000.00,GRANTS TO EXTERNAL ORGANISATIONS,STUDIO 3 ARTS LIMITED,,
2016-12-08,9839.08,MANAGE IT SERVICES,REDCENTRIC SOLUTIONS LTD,,
2016-12-09,9785.00,CONSULTANCY-COMMISSIONED REPORT,LAND USE CONSULTANTS,,
2016-12-08,9575.00,CONSULTANCY-PROJECT MANAGEMENT,DELOITTE LLP,,
2016-12-02,9306.48,MONITORING OF PR AND SOCIAL MEDIA,PRECISE MEDIA MONITORING LTD,,
2016-11-24,9003.11,RECRUITMENT ADVERTISING,TMP (UK) LTD,,
2016-12-07,9003.11,RECRUITMENT ADVERTISING,TMP (UK) LTD,,
2016-11-24,8827.53,AGENCY FEES PAID TO MARKETING AGENCIES,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,,
2016-11-24,8798.81,SOFTWARE MAINTENANCE,SECUREDATA EUROPE LIMITED,,
2016-12-05,8516.95,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-12-05,8507.80,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-11-23,8507.00,CONSULTANCY-PROJECT MANAGEMENT,ECOMOTIVE,,
2016-11-16,8460.00,LEGAL FEES,LUX NOVA PARTNERS LIMITED,,
2016-11-28,8321.25,PROPERTY MANAGEMENT FEES,VITAL ENERGI UTILITES LTD,,
2016-11-14,8052.00,OFFICE CLEANING,BOW TIE,,
2016-11-30,8000.00,CONSULTANCY-PROJECT MANAGEMENT,AECOM LTD,,
2016-12-05,7968.25,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-11-14,7871.10,EQUIPMENT HIRE & RENTAL,Marylebone Cricket Club,,
2016-11-18,7744.50,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-11-17,7443.45,SHARED SERVICES FEES,TRANSPORT TRADING LTD,,
2016-12-05,7415.60,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-11-16,7401.92,SECONDED STAFF,HOUSE OF LORDS,,
2016-12-09,7350.00,PUBLICATIONS & PERIODICALS,DODS PARLIAMENTARY COMMS LTD,,
2016-12-05,7053.00,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-11-14,6968.00,LEGAL FEES,ASHFORDS LLP,,
2016-11-29,6935.00,EXTERNAL EVENTS ROADS SHOWS AND FACE TO FACE,BLISS EVENTS MANAGEMENT LIMITED,,
2016-11-22,6881.00,GRANTS TO EXTERNAL ORGANISATIONS,THE LONDON PATHWAY,,
2016-12-02,6788.00,LEGAL FEES,BURGES SALMON LLP,,
2016-11-21,6727.50,SHARED SERVICES FEES,TRANSPORT TRADING LTD,,
2016-11-17,6600.00,GRANTS TO EXTERNAL ORGANISATIONS,PREDERI LIMITED,,
2016-11-24,6371.67,COMPUTER HARDWARE,COMPUTACENTER,,
2016-11-14,6205.00,MANAGE IT SERVICES,TEST PARTNERS LTD,,
2016-11-30,5989.54,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,,
2016-11-24,5932.50,INCOME MAX EXPENSES,HARINGEY COUNCIL,,
2016-12-05,5699.00,COMPUTER HARDWARE,COMPUTACENTER,,
2016-11-22,5499.90,AGENCY STAFF,HAYS SPECIALIST RECRUITMENT LTD,,
2016-11-15,5383.90,GENERAL INSURANCE,AJ GALLAGHER,,
2016-11-23,5356.66,BUILDING MAINTENANCE & REPAIRS,CBRE MANAGED SERVICES LIMITED,,
2016-12-09,5328.31,CONSULTANCY  EVALUATION ASSESSMENT,INSIGHT DIRECT UK LIMITED,,
2016-11-30,5250.00,CONSULTANCY-COMMISSIONED REPORT,DMH ASSOCIATES,,
2016-12-09,5000.00,GRANTS TO EXTERNAL ORGANISATIONS,SPECIAL OLYMPICS GB,,
2016-11-30,5000.00,PUBLICATIONS & PERIODICALS,POPULUS,,
2016-11-28,4950.00,PROMOTIONS INCENTIVES MERCHANDISE GIVE-AWAYS,SCANPLUS PRINT GROUP,,
2016-11-14,4881.00,CONSULTANCY-PROJECT MANAGEMENT,DELOITTE LLP,,
2016-11-28,4845.00,OTHER PROFESSIONAL FEES,OVE ARUP & PARTNERS LTD,,
2016-11-17,4800.00,LEGAL FEES,STEPHEN TROMANS,,
2016-11-25,4800.00,CONSULTANCY-COMMISSIONED REPORT,Promodo Ltd,,
2016-12-06,4762.50,STAFF TRAINING,CAPITA LEARNING & DEVELOPMENT,,
2016-11-23,4553.92,CATERERS SERVICE CHARGES,OCS CATERING,,
2016-11-28,4536.93,SECURITY SERVICES (GUARDS),PROFILE SECURITY SERVICES LTD,,
2016-12-05,4339.20,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-12-06,4333.33,CONSULTANCY-PROJECT MANAGEMENT,BLONSTEIN & ASSOCIATES,,
2016-12-05,4312.55,LEGAL FEES,TROWERS & HAMLINS LLP,,
2016-12-09,4260.35,WATER,THAMES WATER UTILITIES LTD,,
2016-11-23,4250.00,MANAGE IT SERVICES,TRUSTMARQUE SOLUTIONS,,
2016-11-14,4210.00,PRODUCTION ARTWORK AND DESIGN FOR MARKETING,LUISA SIEIRO DESIGN,,
2016-12-07,4199.01,AGENCY FEES PAID TO MARKETING AGENCIES,MEDIAEDGE:CIA UK LTD T/A MEC:ACTIVE,,
2016-12-09,4141.58,HEALTH & SAFETY PEST CONTROL,ABM GROUP UK LTD,,
2016-12-02,4126.00,RADIO TV PRESS POSTER CINEMA AIRTIME AND SPACE,BOW TIE,,
2016-11-14,3985.00,OFFICE CLEANING,BOW TIE,,
2016-11-17,3930.00,IT CONSULTANCY,TEST PARTNERS LTD,,
