Organisational Unit,Payment Date,Amount,Beneficiary Name
Council wide,2013-04-22,3805.26,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3785.91,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3775.88,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3714.65,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3681.50,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3659.98,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3574.44,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3435.18,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3427.72,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3414.22,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3410.61,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3407.37,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3383.61,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3379.73,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3322.08,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3220.63,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3210.25,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3179.81,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3167.84,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3162.37,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3146.94,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3126.05,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3119.08,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3113.14,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3078.57,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3046.61,BRITISH GAS TRADING LTD
Council wide,2013-04-19,3015.31,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3011.29,BRITISH GAS TRADING LTD
Council wide,2013-04-22,3010.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2981.12,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2883.27,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2880.64,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2849.48,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2837.54,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2795.92,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2772.53,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2767.93,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2697.17,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2678.85,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2636.45,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2625.72,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2612.88,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2611.52,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2609.06,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2606.58,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2584.24,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2576.58,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2548.19,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2543.19,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2540.05,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2533.42,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2520.80,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2513.60,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2507.03,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2501.04,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2500.85,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2493.38,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2479.44,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2439.66,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2436.52,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2433.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2425.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2421.22,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2410.66,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2395.00,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2385.65,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2366.83,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2365.66,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2363.80,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2347.35,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2346.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2338.70,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2337.86,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2328.74,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2327.98,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2326.68,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2324.43,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2321.37,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2318.76,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2316.92,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2286.54,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2270.90,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2263.23,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2258.89,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2255.40,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2244.44,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2243.53,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2223.72,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2212.76,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2205.75,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2190.49,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2183.20,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2179.67,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2179.38,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2166.14,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2158.93,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2158.64,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2130.54,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2127.34,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2126.12,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2112.37,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2087.79,BRITISH GAS TRADING LTD
Council wide,2013-04-19,2085.76,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2074.71,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2055.02,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2048.06,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2042.79,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2041.70,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2040.64,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2032.28,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2007.74,BRITISH GAS TRADING LTD
Council wide,2013-04-22,2007.20,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1998.15,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1994.35,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1990.22,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1989.54,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1986.72,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1963.47,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1951.32,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1948.00,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1945.89,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1936.74,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1928.39,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1927.65,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1904.34,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1890.33,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1885.22,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1884.94,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1879.46,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1879.20,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1864.78,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1864.38,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1861.53,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1861.38,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1861.31,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1847.37,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1838.05,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1825.34,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1806.45,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1802.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1800.00,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1792.80,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1791.16,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1790.58,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1781.55,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1777.70,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1761.93,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1744.65,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1720.22,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1716.27,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1708.62,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1694.83,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1693.92,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1683.00,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1665.45,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1654.46,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1653.46,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1640.24,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1637.73,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1633.02,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1600.70,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1591.50,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1568.93,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1542.03,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1538.15,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1528.07,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1517.79,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1509.43,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1496.95,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1489.57,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1489.32,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1488.91,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1482.99,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1481.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1464.29,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1456.23,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1452.31,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1446.81,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1427.45,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1426.49,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1417.77,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1412.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1396.34,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1391.09,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1386.95,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1357.77,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1350.09,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1337.22,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1317.25,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1315.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1309.29,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1301.37,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1279.40,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1274.51,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1271.70,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1270.85,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1262.93,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1260.40,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1250.79,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1250.05,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1244.83,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1231.46,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1224.87,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1220.04,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1218.52,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1215.74,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1192.01,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1190.98,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1187.15,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1177.32,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1175.35,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1172.52,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1159.44,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1117.33,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1111.22,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1106.59,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1105.92,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1099.88,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1099.15,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1090.98,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1084.94,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1083.33,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1079.91,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1078.51,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1070.70,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1069.97,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1069.68,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1062.76,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1051.15,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1046.93,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1046.29,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1040.89,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1037.80,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1033.78,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1033.02,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1031.27,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1025.89,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1021.87,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1019.10,BRITISH GAS TRADING LTD
Council wide,2013-04-22,1015.36,BRITISH GAS TRADING LTD
Council wide,2013-04-19,1004.14,BRITISH GAS TRADING LTD
Council wide,2013-04-22,997.17,BRITISH GAS TRADING LTD
Council wide,2013-04-22,993.02,BRITISH GAS TRADING LTD
Council wide,2013-04-22,992.62,BRITISH GAS TRADING LTD
Council wide,2013-04-22,984.75,BRITISH GAS TRADING LTD
Council wide,2013-04-22,978.87,BRITISH GAS TRADING LTD
Council wide,2013-04-22,976.91,BRITISH GAS TRADING LTD
Council wide,2013-04-22,973.92,BRITISH GAS TRADING LTD
Council wide,2013-04-22,961.78,BRITISH GAS TRADING LTD
Council wide,2013-04-19,944.58,BRITISH GAS TRADING LTD
Council wide,2013-04-22,943.37,BRITISH GAS TRADING LTD
Council wide,2013-04-22,941.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,922.76,BRITISH GAS TRADING LTD
Council wide,2013-04-22,915.14,BRITISH GAS TRADING LTD
Council wide,2013-04-22,914.98,BRITISH GAS TRADING LTD
Council wide,2013-04-22,909.77,BRITISH GAS TRADING LTD
Council wide,2013-04-22,896.35,BRITISH GAS TRADING LTD
Council wide,2013-04-22,893.75,BRITISH GAS TRADING LTD
Council wide,2013-04-19,891.94,BRITISH GAS TRADING LTD
Council wide,2013-04-22,891.27,BRITISH GAS TRADING LTD
Council wide,2013-04-22,881.64,BRITISH GAS TRADING LTD
Council wide,2013-04-19,876.08,BRITISH GAS TRADING LTD
Council wide,2013-04-22,865.47,BRITISH GAS TRADING LTD
Council wide,2013-04-22,863.82,BRITISH GAS TRADING LTD
Council wide,2013-04-22,856.95,BRITISH GAS TRADING LTD
Council wide,2013-04-19,847.02,BRITISH GAS TRADING LTD
Council wide,2013-04-22,842.67,BRITISH GAS TRADING LTD
Council wide,2013-04-19,837.85,BRITISH GAS TRADING LTD
Council wide,2013-04-22,835.01,BRITISH GAS TRADING LTD
Council wide,2013-04-19,832.23,BRITISH GAS TRADING LTD
Council wide,2013-04-22,830.29,BRITISH GAS TRADING LTD
Council wide,2013-04-19,829.86,BRITISH GAS TRADING LTD
Council wide,2013-04-22,819.68,BRITISH GAS TRADING LTD
Council wide,2013-04-22,818.90,BRITISH GAS TRADING LTD
Council wide,2013-04-19,814.55,BRITISH GAS TRADING LTD
Council wide,2013-04-22,813.80,BRITISH GAS TRADING LTD
Council wide,2013-04-19,813.30,BRITISH GAS TRADING LTD
Council wide,2013-04-22,812.62,BRITISH GAS TRADING LTD
Council wide,2013-04-22,811.99,BRITISH GAS TRADING LTD
Council wide,2013-04-22,802.60,BRITISH GAS TRADING LTD
Council wide,2013-04-19,799.25,BRITISH GAS TRADING LTD
Council wide,2013-04-22,799.05,BRITISH GAS TRADING LTD
Council wide,2013-04-22,799.05,BRITISH GAS TRADING LTD
Council wide,2013-04-22,797.87,BRITISH GAS TRADING LTD
Council wide,2013-04-19,794.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,793.90,BRITISH GAS TRADING LTD
Council wide,2013-04-22,791.20,BRITISH GAS TRADING LTD
Council wide,2013-04-19,791.05,BRITISH GAS TRADING LTD
Council wide,2013-04-22,779.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,777.24,BRITISH GAS TRADING LTD
Council wide,2013-04-22,774.15,BRITISH GAS TRADING LTD
Council wide,2013-04-22,772.10,BRITISH GAS TRADING LTD
Council wide,2013-04-22,770.58,BRITISH GAS TRADING LTD
Council wide,2013-04-22,768.36,BRITISH GAS TRADING LTD
Council wide,2013-04-22,767.78,BRITISH GAS TRADING LTD
Council wide,2013-04-19,757.56,BRITISH GAS TRADING LTD
Council wide,2013-04-19,756.54,BRITISH GAS TRADING LTD
Council wide,2013-04-22,754.47,BRITISH GAS TRADING LTD
Council wide,2013-04-22,749.47,BRITISH GAS TRADING LTD
Council wide,2013-04-22,748.37,BRITISH GAS TRADING LTD
Council wide,2013-04-19,738.40,BRITISH GAS TRADING LTD
Council wide,2013-04-22,737.13,BRITISH GAS TRADING LTD
Council wide,2013-04-22,736.97,BRITISH GAS TRADING LTD
Council wide,2013-04-22,726.96,BRITISH GAS TRADING LTD
Council wide,2013-04-19,722.73,BRITISH GAS TRADING LTD
Council wide,2013-04-22,721.01,BRITISH GAS TRADING LTD
Council wide,2013-04-22,719.16,BRITISH GAS TRADING LTD
Council wide,2013-04-22,718.40,BRITISH GAS TRADING LTD
Council wide,2013-04-22,718.20,BRITISH GAS TRADING LTD
Council wide,2013-04-22,716.43,BRITISH GAS TRADING LTD
Council wide,2013-04-22,715.90,BRITISH GAS TRADING LTD
Council wide,2013-04-22,715.19,BRITISH GAS TRADING LTD
